Timstamp,X,Y
2019-05-07T04:23:26.920,327,432
2019-05-07T04:23:27.150,563,371
2019-05-07T04:23:27.700,358,105
2019-05-07T04:23:28.170,377,469
2019-05-07T04:23:28.400,541,436
2019-05-07T04:23:28.530,539,394
2019-05-07T04:23:28.560,536,370
2019-05-07T04:23:28.610,536,365
2019-05-07T04:23:28.740,539,406
2019-05-07T04:23:28.760,539,416
2019-05-07T04:23:28.840,538,419
2019-05-07T04:23:29.180,485,81
2019-05-07T04:23:29.830,178,83
2019-05-07T04:23:29.880,205,61
2019-05-07T04:23:29.960,383,36
2019-05-07T04:23:30.610,485,432
